ID.x;study;site;SiteBlock;replicate;treatment.direction;treatment.level;grouping.x;measure;value
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;1;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.361166441
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;2;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.495501576
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;3;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.431230742
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;4;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.691202014
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;5;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.630925207
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;6;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.361640112
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;7;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.625119635
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;8;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.815258953
Gugerli_1997.csv;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;9;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";beta.bray.bal;0.822734884
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;1;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.367647059
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;10;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.445327603
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;2;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.837581699
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;3;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.66767715
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;4;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.430313588
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;5;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.494652406
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;6;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.634897361
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;7;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.381520119
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;8;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.229700854
Henry_unpubl.csv;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;9;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";beta.bray.bal;0.36778846
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;1;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.384159049
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;2;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.253012048
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;3;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.259768572
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;4;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.205100576
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;5;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.26854067
Chapin_1995.csv;Arctic_LTER;MAT;MAT - A;6;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.359795321
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;1;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.393844314
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;2;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.304183536
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;3;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.151716501
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;4;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.363556339
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;5;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.145823155
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;6;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.206043955
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;7;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.215425531
Chapin_1995.csv;Arctic_LTER;MAT;MAT - B;8;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.254201681
Chapin_1995.csv;Arctic_LTER;MAT;MAT - C;1;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";beta.bray.bal;0.569286688
